timeMsg,FromUserId,FromNickName,MsgType,Content,MsgRandom
2021-02-02 18:13:02,257314409,Kyant,PicMsg,"{""Content"":""Why Sky?"",""GroupPic"":[{""FileId"":3124418725,""FileMd5"":""Ukf5avdsPfxVGcwlW8To2g=="",""FileSize"":979134,""ForwordBuf"":""EiQ1MjQ3Rjk2QUY3NkMzREZDNTUxOUNDMjU1QkM0RThEQS5wbmc4pbHr0QtA/bqJ5g1IsG1QQloQdG1lYzhQcVZna0t0RHFmZWABahBSR/lq92w9/FUZzCVbxOjaclovZ2NoYXRwaWNfbmV3LzI1NzMxNDQwOS85NzczODM0NjEtMzEyNDQxODcyNS01MjQ3Rjk2QUY3NkMzREZDNTUxOUNDMjU1QkM0RThEQS8xOTg/dGVybT0yNTWCAVgvZ2NoYXRwaWNfbmV3LzI1NzMxNDQwOS85NzczODM0NjEtMzEyNDQxODcyNS01MjQ3Rjk2QUY3NkMzREZDNTUxOUNDMjU1QkM0RThEQS8wP3Rlcm09MjU1iAEAoAEAsAGgC7gB4BfAAcgByAG+4TvQAQDoAQDwAQD6AVovZ2NoYXRwaWNfbmV3LzI1NzMxNDQwOS85NzczODM0NjEtMzEyNDQxODcyNS01MjQ3Rjk2QUY3NkMzREZDNTUxOUNDMjU1QkM0RThEQS80MDA/dGVybT0yNTWSAgJ4Bg=="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/257314409/977383461-2534335053-5247F96AF76C3DFC5519CC255BC4E8DA/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",2103301474
﻿2021-02-02 18:16:33,2734184475,Whale Fall 鲸落(ღ˘⌣˘ღ),TextMsg,光遇还行,980434498
﻿2021-02-02 18:16:58,1834663164,Revenge | 秋こんにちは,TextMsg,。。,501663481
﻿2021-02-02 18:17:24,1834663164,Revenge | 秋こんにちは,TextMsg,光遇还是太热闹了,1515950511
﻿2021-02-02 18:17:40,1834663164,Revenge | 秋こんにちは,PicMsg,"{""GroupPic"":[{""FileId"":2665961455,""FileMd5"":""lym1+jLvB6GVHfm4IUNZHw=="",""FileSize"":502114,""ForwordBuf"":""Eip7OTcyOUI1RkEtMzJFRi0wN0ExLTk1MUQtRjlCODIxNDM1OTFGfS5wbmciACoEAAAAADJcFTYgOTJrQTEAOWVlNzU3ZWY5MDc1NjFiNCAgICAgIDUwICAgICAgICAgICAgICAgIHs5NzI5QjVGQS0zMkVGLTA3QTEtOTUxRC1GOUI4MjE0MzU5MUZ9LnBuZ0E476+d9wlAtMPVgwlIUFAAWgBgAWoQlym1+jLvB6GVHfm4IUNZH3JbL2djaGF0cGljX25ldy8xODM0NjYzMTY0Lzk3NzM4MzQ2MS0yNjY1OTYxNDU1LTk3MjlCNUZBMzJFRjA3QTE5NTFERjlCODIxNDM1OTFGLzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMTgzNDY2MzE2NC85NzczODM0NjEtMjY2NTk2MTQ1NS05NzI5QjVGQTMyRUYwN0ExOTUxREY5QjgyMTQzNTkxRi8wP3Rlcm09MjU1oAHpB7AB7wm4AcsFyAHi0h7YAcYB4AFw+gFbL2djaGF0cGljX25ldy8xODM0NjYzMTY0Lzk3NzM4MzQ2MS0yNjY1OTYxNDU1LTk3MjlCNUZBMzJFRjA3QTE5NTFERjlCODIxNDM1OTFGLzQwMD90ZXJtPTI1NYACgAOIAtkB"",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/1834663164/977383461-2534335053-9729B5FA32EF07A1951DF9B82143591F/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",3688451458
﻿2021-02-02 18:17:41,1834663164,Revenge | 秋こんにちは,TextMsg,看看这个,4022807663
﻿2021-02-02 18:18:11,2734184475,Whale Fall 鲸落(ღ˘⌣˘ღ),TextMsg,风之旅人我也玩过一下,624969752
﻿2021-02-02 18:18:24,2734184475,Whale Fall 鲸落(ღ˘⌣˘ღ),TextMsg,陈老师的作品都还不错,835890652
﻿2021-02-02 18:18:51,1834663164,Revenge | 秋こんにちは,PicMsg,"{""GroupPic"":[{""FileId"":2793830658,""FileMd5"":""WdAxQR09rOhP+GjDmfIiyA=="",""FileSize"":650054,""ForwordBuf"":""Eip7NTlEMDMxNDEtMUQzRC1BQ0U4LTRGRjgtNjhDMzk5RjIyMkM4fS5wbmciACoEAAAAADJcFTYgOTJrQTEAYTY4Njc5MDJiYjA1NWI2NSAgICAgIDUwICAgICAgICAgICAgICAgIHs1OUQwMzE0MS0xRDNELUFDRTgtNEZGOC02OEMzOTlGMjIyQzh9LnBuZ0E4gvKZtApA5baV2AtIUFAAWgBgAWoQWdAxQR09rOhP+GjDmfIiyHJbL2djaGF0cGljX25ldy8xODM0NjYzMTY0Lzk3NzM4MzQ2MS0yNzkzODMwNjU4LTU5RDAzMTQxMUQzREFDRTg0RkY4NjhDMzk5RjIyMkM4LzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMTgzNDY2MzE2NC85NzczODM0NjEtMjc5MzgzMDY1OC01OUQwMzE0MTFEM0RBQ0U4NEZGODY4QzM5OUYyMjJDOC8wP3Rlcm09MjU1oAHpB7AB7wm4AcsFyAHG1ifYAcYB4AFw+gFbL2djaGF0cGljX25ldy8xODM0NjYzMTY0Lzk3NzM4MzQ2MS0yNzkzODMwNjU4LTU5RDAzMTQxMUQzREFDRTg0RkY4NjhDMzk5RjIyMkM4LzQwMD90ZXJtPTI1NYACgAOIAtkB"",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/1834663164/977383461-2534335053-59D031411D3DACE84FF868C399F222C8/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",14271063
﻿2021-02-02 18:19:23,1834663164,Revenge | 秋こんにちは,PicMsg,"{""GroupPic"":[{""FileId"":2150468874,""FileMd5"":""amIdOIigB67M2lrCBm2D2w=="",""FileSize"":2970,""ForwordBuf"":""Eip7NkE2MjFEMzgtODhBMC0wN0FFLUNDREEtNUFDMjA2NkQ4M0RCfS5naWYiACoEAwAAADJgFTYgOTZrRTFBODAyZDhkMGFiY2ViMDNiNyAgICAgIDUwICAgICAgICAgICAgICAgIHs2QTYyMUQzOC04OEEwLTA3QUUtQ0NEQS01QUMyMDY2RDgzREJ9LmdpZjEyMTJBOIqatoEIQLeHrOcLSFBQQVoAYAFqEGpiHTiIoAeuzNpawgZtg9tyWy9nY2hhdHBpY19uZXcvMTgzNDY2MzE2NC85NzczODM0NjEtMjE1MDQ2ODg3NC02QTYyMUQzODg4QTAwN0FFQ0NEQTVBQzIwNjZEODNEQi8xOTg/dGVybT0yNTWCAVkvZ2NoYXRwaWNfbmV3LzE4MzQ2NjMxNjQvOTc3MzgzNDYxLTIxNTA0Njg4NzQtNkE2MjFEMzg4OEEwMDdBRUNDREE1QUMyMDY2RDgzREIvMD90ZXJtPTI1NaAB0A+wAVO4ATTIAZoX2AFT4AE0+gFbL2djaGF0cGljX25ldy8xODM0NjYzMTY0Lzk3NzM4MzQ2MS0yMTUwNDY4ODc0LTZBNjIxRDM4ODhBMDA3QUVDQ0RBNUFDMjA2NkQ4M0RCLzQwMD90ZXJtPTI1NYACU4gCNJICBAgBSgA="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/1834663164/977383461-2534335053-6A621D3888A007AECCDA5AC2066D83DB/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",2681495138
﻿2021-02-02 18:19:28,1736814721,逃,TextMsg,没有人一起玩的光遇 无聊死了,537767602
